node_id,node_order,node_name,node_goal,node_stage,node_substage,skill_name_cn,skill_name_en,skill_role_in_node,source_l1,source_l2,source_l3,dependency_skills,current_node_input_docs,current_node_output_docs,next_node_ids,next_node_names,next_node_input_docs,priority,recommended_first_batch,boundary_positioning,phase_boundary,action_boundary,upstream_boundary,downstream_handoff,adjacent_skill_boundary,dependency_count
N060,60,需求规划评估,综合价值、成本、风险与优先级，形成需求规划建议,需求与产品定义,需求规划,需求风险预判,requirement-risk-assessment,校验/判断,需求与产品定义,需求规划,风险判断,需求背景补全,需求背景卡.md; 用户痛点卡.md; 竞品能力扫描表.csv,需求价值评估表.csv; 需求成本预估表.csv; 需求风险预判表.csv; 需求优先级建议.csv,N070;N090;N360,需求结构化建模;PRD产出与评审;跨团队对齐与版本节奏,需求优先级建议.csv; 需求价值评估表.csv; 需求风险预判表.csv,P1,否,在需求与产品定义-需求规划环节，围绕“识别实现、上线、协同和规则风险”提供以判断依据、风险提示、建议为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责给出评估依据、估计或排序建议，不替代负责人最终拍板。,以上游技能输出为前置输入：需求背景补全。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：需求优先级评估；需求价值评估；需求成本预估。,0
N070,70,需求结构化建模,将需求拆成功能、规则、状态、权限和数据对象等可交付结构,需求与产品定义,需求结构化,业务规则抽取,business-rule-extraction,分析/提炼,需求与产品定义,需求结构化,规则抽取,需求拆解,需求背景卡.md; 需求优先级建议.csv; PRD/草案.md,需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv; 数据对象清单.csv,N080;N090;N100;N230;N260,原型解析;PRD产出与评审;需求质量门禁;测试设计;质量门禁与专项测试,需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv; 数据对象清单.csv,P1,否,在需求与产品定义-需求结构化环节，围绕“从文档中提取业务规则和约束条件”提供以草稿、清单、结构化结果为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：需求拆解。,典型下游衔接：状态流转梳理；权限矩阵提取；PRD生成；需求完整性检查；需求矛盾检测；需求漏洞扫描 等。,同一子域相邻技能：需求拆解；状态流转梳理；权限矩阵提取；数据对象识别。,10
N070,70,需求结构化建模,将需求拆成功能、规则、状态、权限和数据对象等可交付结构,需求与产品定义,需求结构化,数据对象识别,data-object-identification,分析/提炼,需求与产品定义,需求结构化,数据识别,需求拆解,需求背景卡.md; 需求优先级建议.csv; PRD/草案.md,需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv; 数据对象清单.csv,N080;N090;N100;N230;N260,原型解析;PRD产出与评审;需求质量门禁;测试设计;质量门禁与专项测试,需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv; 数据对象清单.csv,P1,否,在需求与产品定义-需求结构化环节，围绕“抽取业务对象、关键字段和数据影响面”提供以解释、识别、归因为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：需求拆解。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：需求拆解；业务规则抽取；状态流转梳理；权限矩阵提取。,0
N070,70,需求结构化建模,将需求拆成功能、规则、状态、权限和数据对象等可交付结构,需求与产品定义,需求结构化,权限矩阵提取,permission-matrix-extraction,执行,需求与产品定义,需求结构化,权限抽取,需求拆解; 业务规则抽取,需求背景卡.md; 需求优先级建议.csv; PRD/草案.md,需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv; 数据对象清单.csv,N080;N090;N100;N230;N260,原型解析;PRD产出与评审;需求质量门禁;测试设计;质量门禁与专项测试,需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv; 数据对象清单.csv,P1,否,在需求与产品定义-需求结构化环节，围绕“按角色梳理查看、创建、编辑、审批等权限”提供以草稿、清单、结构化结果为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：需求拆解; 业务规则抽取。,典型下游衔接：PRD生成；需求矛盾检测；需求漏洞扫描；权限模型设计；权限测试点生成。,同一子域相邻技能：需求拆解；业务规则抽取；状态流转梳理；数据对象识别。,5
N070,70,需求结构化建模,将需求拆成功能、规则、状态、权限和数据对象等可交付结构,需求与产品定义,需求结构化,状态流转梳理,state-transition-mapping,分析/提炼,需求与产品定义,需求结构化,状态建模,需求拆解; 业务规则抽取,需求背景卡.md; 需求优先级建议.csv; PRD/草案.md,需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv; 数据对象清单.csv,N080;N090;N100;N230;N260,原型解析;PRD产出与评审;需求质量门禁;测试设计;质量门禁与专项测试,需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv; 数据对象清单.csv,P1,否,在需求与产品定义-需求结构化环节，围绕“识别状态、状态转换条件和不可逆点”提供以解释、识别、归因为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：需求拆解; 业务规则抽取。,典型下游衔接：PRD生成；需求矛盾检测；需求漏洞扫描。,同一子域相邻技能：需求拆解；业务规则抽取；权限矩阵提取；数据对象识别。,3
N070,70,需求结构化建模,将需求拆成功能、规则、状态、权限和数据对象等可交付结构,需求与产品定义,需求结构化,需求拆解,requirement-breakdown,分析/提炼,需求与产品定义,需求结构化,功能拆解,需求背景补全,需求背景卡.md; 需求优先级建议.csv; PRD/草案.md,需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv; 数据对象清单.csv,N080;N090;N100;N230;N260,原型解析;PRD产出与评审;需求质量门禁;测试设计;质量门禁与专项测试,需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv; 数据对象清单.csv,P0,是,在需求与产品定义-需求结构化环节，围绕“把大需求拆成可开发、可测试、可评估的功能单元”提供以草稿、清单、结构化结果为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责拆成可执行单元和依赖关系，不负责后续详细设计、编码或测试落地。,以上游技能输出为前置输入：需求背景补全。,典型下游衔接：业务规则抽取；状态流转梳理；权限矩阵提取；数据对象识别；原型转后端需求；PRD生成 等。,同一子域相邻技能：业务规则抽取；状态流转梳理；权限矩阵提取；数据对象识别。,10
N080,80,原型解析,从页面原型中提取功能点、动作、字段与后端需求,需求与产品定义,原型理解,原型转功能点,prototype-to-feature-points,执行,需求与产品定义,原型理解,页面解析,需求背景补全,原型链接/截图; 需求背景卡.md; 需求结构树.md,原型功能点表.csv; 页面动作表.csv; 表单字段清单.csv; 原型后端需求清单.csv,N090;N100,PRD产出与评审;需求质量门禁,原型功能点表.csv; 页面动作表.csv; 表单字段清单.csv; 原型后端需求清单.csv,P1,否,在需求与产品定义-原型理解环节，围绕“从原型页提取页面能力点和后台意图”提供以草稿、清单、结构化结果为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：需求背景补全。,典型下游衔接：原型转后端需求；页面动作提取；表单字段提取。,同一子域相邻技能：原型转后端需求；页面动作提取；表单字段提取。,3
N080,80,原型解析,从页面原型中提取功能点、动作、字段与后端需求,需求与产品定义,原型理解,原型转后端需求,prototype-to-backend-requirements,执行,需求与产品定义,原型理解,后端抽取,原型转功能点; 需求拆解,原型链接/截图; 需求背景卡.md; 需求结构树.md,原型功能点表.csv; 页面动作表.csv; 表单字段清单.csv; 原型后端需求清单.csv,N090;N100,PRD产出与评审;需求质量门禁,原型功能点表.csv; 页面动作表.csv; 表单字段清单.csv; 原型后端需求清单.csv,P1,否,在需求与产品定义-原型理解环节，围绕“从页面、表单、状态中抽取后端实现需求”提供以草稿、清单、结构化结果为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：原型转功能点; 需求拆解。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：原型转功能点；页面动作提取；表单字段提取。,0
N080,80,原型解析,从页面原型中提取功能点、动作、字段与后端需求,需求与产品定义,原型理解,表单字段提取,form-field-extraction,执行,需求与产品定义,原型理解,字段提取,原型转功能点,原型链接/截图; 需求背景卡.md; 需求结构树.md,原型功能点表.csv; 页面动作表.csv; 表单字段清单.csv; 原型后端需求清单.csv,N090;N100,PRD产出与评审;需求质量门禁,原型功能点表.csv; 页面动作表.csv; 表单字段清单.csv; 原型后端需求清单.csv,P2,否,在需求与产品定义-原型理解环节，围绕“抽取字段、校验、默认值和可编辑条件”提供以草稿、清单、结构化结果为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：原型转功能点。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：原型转功能点；原型转后端需求；页面动作提取。,0
N080,80,原型解析,从页面原型中提取功能点、动作、字段与后端需求,需求与产品定义,原型理解,页面动作提取,page-action-extraction,执行,需求与产品定义,原型理解,动作提取,原型转功能点,原型链接/截图; 需求背景卡.md; 需求结构树.md,原型功能点表.csv; 页面动作表.csv; 表单字段清单.csv; 原型后端需求清单.csv,N090;N100,PRD产出与评审;需求质量门禁,原型功能点表.csv; 页面动作表.csv; 表单字段清单.csv; 原型后端需求清单.csv,P2,否,在需求与产品定义-原型理解环节，围绕“抽取按钮、菜单、批量操作和状态切换动作”提供以汇总、归类、展示为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：原型转功能点。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：原型转功能点；原型转后端需求；表单字段提取。,0
N090,90,PRD产出与评审,生成结构化PRD、补全缺项并产出评审问题,需求与产品定义,文档产出,PRD生成,prd-generation,产出,需求与产品定义,文档产出,PRD生成,需求拆解; 业务规则抽取; 状态流转梳理; 权限矩阵提取,需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv; 原型功能点表.csv,PRD.md; PRD补全建议.md; PRD评审问题清单.csv,N100;N110,需求质量门禁;需求交接与验收,PRD.md; PRD补全建议.md; PRD评审问题清单.csv,P0,是,在需求与产品定义-文档产出环节，围绕“根据结构化需求直接生成 PRD 初稿”提供以草稿、清单、结构化结果为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责生成初稿、清单、说明或文档，不保证可直接上线/发布，仍需人工校对。,以上游技能输出为前置输入：需求拆解; 业务规则抽取; 状态流转梳理; 权限矩阵提取。,典型下游衔接：PRD补全；PRD评审问题生成；需求可执行性检查；需求交接包生成。,同一子域相邻技能：PRD补全；PRD评审问题生成。,4
N090,90,PRD产出与评审,生成结构化PRD、补全缺项并产出评审问题,需求与产品定义,文档产出,PRD补全,prd-completion,分析/提炼,需求与产品定义,文档产出,PRD补全,PRD生成; 需求完整性检查,需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv; 原型功能点表.csv,PRD.md; PRD补全建议.md; PRD评审问题清单.csv,N100;N110,需求质量门禁;需求交接与验收,PRD.md; PRD补全建议.md; PRD评审问题清单.csv,P1,否,在需求与产品定义-文档产出环节，围绕“对现有 PRD 缺失内容进行补写和完善”提供以草稿、清单、结构化结果为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责补齐缺失信息，不凭空创造未经证实的新规则、新范围或新承诺。,以上游技能输出为前置输入：PRD生成; 需求完整性检查。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：PRD生成；PRD评审问题生成。,0
N090,90,PRD产出与评审,生成结构化PRD、补全缺项并产出评审问题,需求与产品定义,文档产出,PRD评审问题生成,prd-review-question-generation,校验/判断,需求与产品定义,文档产出,评审辅助,PRD生成; 需求质量审查,需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv; 原型功能点表.csv,PRD.md; PRD补全建议.md; PRD评审问题清单.csv,N100;N110,需求质量门禁;需求交接与验收,PRD.md; PRD补全建议.md; PRD评审问题清单.csv,P1,否,在需求与产品定义-文档产出环节，围绕“为评审会自动生成问题清单和关注点”提供以草稿、清单、结构化结果为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责生成初稿、清单、说明或文档，不保证可直接上线/发布，仍需人工校对。,以上游技能输出为前置输入：PRD生成; 需求质量审查。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：PRD生成；PRD补全。,0
N100,100,需求质量门禁,检查需求完整性、可执行性、一致性、漏洞和未决项，并给出放行结论,需求质量保障,质量审查,待确认项提取,pending-items-extraction,执行,需求质量保障,不确定项审查,未决识别,需求拆解; 业务规则抽取,PRD.md; 需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv,完整性检查单.csv; 可执行性检查单.csv; 需求矛盾问题单.csv; 需求漏洞清单.csv; 待确认项清单.csv; 需求质量审查单.md,N110;N370,需求交接与验收;平台路由与多技能编排,需求质量审查单.md; 待确认项清单.csv,P0,是,在需求质量保障-不确定项审查环节，围绕“提取阻塞研发和测试推进的未确认问题”提供以草稿、清单、结构化结果为主。,止于需求审查与放行建议，不回写需求正文，也不进入技术设计、开发和测试执行。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：需求拆解; 业务规则抽取。,典型下游衔接：需求质量审查。,主要与这些技能形成边界：需求拆解；业务规则抽取；需求质量审查。,1
N100,100,需求质量门禁,检查需求完整性、可执行性、一致性、漏洞和未决项，并给出放行结论,需求质量保障,质量审查,需求可执行性检查,requirement-executability-check,校验/判断,需求质量保障,可执行性审查,开工判断,需求拆解; PRD生成,PRD.md; 需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv,完整性检查单.csv; 可执行性检查单.csv; 需求矛盾问题单.csv; 需求漏洞清单.csv; 待确认项清单.csv; 需求质量审查单.md,N110;N370,需求交接与验收;平台路由与多技能编排,需求质量审查单.md; 待确认项清单.csv,P0,是,在需求质量保障-可执行性审查环节，围绕“判断需求是否足够支撑研发估时、设计、开发和测试”提供以判断依据、风险提示、建议为主。,止于需求审查与放行建议，不回写需求正文，也不进入技术设计、开发和测试执行。,负责按规范或规则核查并指出问题，不自动修复或代替负责人签字。,以上游技能输出为前置输入：需求拆解; PRD生成。,典型下游衔接：需求质量审查；工时估算辅助。,主要与这些技能形成边界：需求拆解；PRD生成；需求质量审查；工时估算辅助。,2
N100,100,需求质量门禁,检查需求完整性、可执行性、一致性、漏洞和未决项，并给出放行结论,需求质量保障,质量审查,需求完整性检查,requirement-completeness-check,校验/判断,需求质量保障,完整性审查,缺项检查,需求拆解; 业务规则抽取,PRD.md; 需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv,完整性检查单.csv; 可执行性检查单.csv; 需求矛盾问题单.csv; 需求漏洞清单.csv; 待确认项清单.csv; 需求质量审查单.md,N110;N370,需求交接与验收;平台路由与多技能编排,需求质量审查单.md; 待确认项清单.csv,P0,是,在需求质量保障-完整性审查环节，围绕“检查是否缺少规则、校验、异常、权限、数据影响等”提供以判断依据、风险提示、建议为主。,止于需求审查与放行建议，不回写需求正文，也不进入技术设计、开发和测试执行。,负责按规范或规则核查并指出问题，不自动修复或代替负责人签字。,以上游技能输出为前置输入：需求拆解; 业务规则抽取。,典型下游衔接：PRD补全；需求质量审查。,主要与这些技能形成边界：需求拆解；业务规则抽取；PRD补全；需求质量审查。,2
N100,100,需求质量门禁,检查需求完整性、可执行性、一致性、漏洞和未决项，并给出放行结论,需求质量保障,质量审查,需求漏洞扫描,requirement-vulnerability-scan,校验/判断,需求质量保障,风险审查,漏洞识别,业务规则抽取; 状态流转梳理; 权限矩阵提取,PRD.md; 需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv,完整性检查单.csv; 可执行性检查单.csv; 需求矛盾问题单.csv; 需求漏洞清单.csv; 待确认项清单.csv; 需求质量审查单.md,N110;N370,需求交接与验收;平台路由与多技能编排,需求质量审查单.md; 待确认项清单.csv,P0,是,在需求质量保障-风险审查环节，围绕“发现并发、幂等、越权、异常恢复、边界遗漏”提供以判断依据、风险提示、建议为主。,止于需求审查与放行建议，不回写需求正文，也不进入技术设计、开发和测试执行。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：业务规则抽取; 状态流转梳理; 权限矩阵提取。,典型下游衔接：需求质量审查；并发控制建议；幂等设计建议；安全风险分析；并发测试点生成；幂等测试点生成。,主要与这些技能形成边界：业务规则抽取；状态流转梳理；权限矩阵提取；需求质量审查。,6
N100,100,需求质量门禁,检查需求完整性、可执行性、一致性、漏洞和未决项，并给出放行结论,需求质量保障,质量审查,需求矛盾检测,requirement-conflict-detection,校验/判断,需求质量保障,一致性审查,矛盾识别,业务规则抽取; 状态流转梳理; 权限矩阵提取,PRD.md; 需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv,完整性检查单.csv; 可执行性检查单.csv; 需求矛盾问题单.csv; 需求漏洞清单.csv; 待确认项清单.csv; 需求质量审查单.md,N110;N370,需求交接与验收;平台路由与多技能编排,需求质量审查单.md; 待确认项清单.csv,P0,是,在需求质量保障-一致性审查环节，围绕“识别规则冲突、权限冲突、状态冲突和口径冲突”提供以解释、识别、归因为主。,止于需求审查与放行建议，不回写需求正文，也不进入技术设计、开发和测试执行。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：业务规则抽取; 状态流转梳理; 权限矩阵提取。,典型下游衔接：需求质量审查。,主要与这些技能形成边界：业务规则抽取；状态流转梳理；权限矩阵提取；需求质量审查。,1
