一级分类,二级分类,三级功能,Skill名称,技能名称 英文,功能描述,功能偏向,优先级,是否建议首批建设,依赖Skill,边界定位,阶段边界,动作边界,上游边界,下游衔接,相邻技能边界,被依赖次数
需求与产品定义,需求规划,风险判断,需求风险预判,requirement-risk-assessment,识别实现、上线、协同和规则风险,辅助决策,P1,否,需求背景补全,在需求与产品定义-需求规划环节，围绕“识别实现、上线、协同和规则风险”提供以判断依据、风险提示、建议为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责给出评估依据、估计或排序建议，不替代负责人最终拍板。,以上游技能输出为前置输入：需求背景补全。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：需求优先级评估；需求价值评估；需求成本预估。,0
需求与产品定义,需求结构化,功能拆解,需求拆解,requirement-breakdown,把大需求拆成可开发、可测试、可评估的功能单元,直接出结果,P0,是,需求背景补全,在需求与产品定义-需求结构化环节，围绕“把大需求拆成可开发、可测试、可评估的功能单元”提供以草稿、清单、结构化结果为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责拆成可执行单元和依赖关系，不负责后续详细设计、编码或测试落地。,以上游技能输出为前置输入：需求背景补全。,典型下游衔接：业务规则抽取；状态流转梳理；权限矩阵提取；数据对象识别；原型转后端需求；PRD生成 等。,同一子域相邻技能：业务规则抽取；状态流转梳理；权限矩阵提取；数据对象识别。,10
需求与产品定义,需求结构化,规则抽取,业务规则抽取,business-rule-extraction,从文档中提取业务规则和约束条件,直接出结果,P1,否,需求拆解,在需求与产品定义-需求结构化环节，围绕“从文档中提取业务规则和约束条件”提供以草稿、清单、结构化结果为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：需求拆解。,典型下游衔接：状态流转梳理；权限矩阵提取；PRD生成；需求完整性检查；需求矛盾检测；需求漏洞扫描 等。,同一子域相邻技能：需求拆解；状态流转梳理；权限矩阵提取；数据对象识别。,10
需求与产品定义,需求结构化,状态建模,状态流转梳理,state-transition-mapping,识别状态、状态转换条件和不可逆点,帮助理解,P1,否,需求拆解; 业务规则抽取,在需求与产品定义-需求结构化环节，围绕“识别状态、状态转换条件和不可逆点”提供以解释、识别、归因为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：需求拆解; 业务规则抽取。,典型下游衔接：PRD生成；需求矛盾检测；需求漏洞扫描。,同一子域相邻技能：需求拆解；业务规则抽取；权限矩阵提取；数据对象识别。,3
需求与产品定义,需求结构化,权限抽取,权限矩阵提取,permission-matrix-extraction,按角色梳理查看、创建、编辑、审批等权限,直接出结果,P1,否,需求拆解; 业务规则抽取,在需求与产品定义-需求结构化环节，围绕“按角色梳理查看、创建、编辑、审批等权限”提供以草稿、清单、结构化结果为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：需求拆解; 业务规则抽取。,典型下游衔接：PRD生成；需求矛盾检测；需求漏洞扫描；权限模型设计；权限测试点生成。,同一子域相邻技能：需求拆解；业务规则抽取；状态流转梳理；数据对象识别。,5
需求与产品定义,需求结构化,数据识别,数据对象识别,data-object-identification,抽取业务对象、关键字段和数据影响面,帮助理解,P1,否,需求拆解,在需求与产品定义-需求结构化环节，围绕“抽取业务对象、关键字段和数据影响面”提供以解释、识别、归因为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：需求拆解。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：需求拆解；业务规则抽取；状态流转梳理；权限矩阵提取。,0
需求与产品定义,原型理解,页面解析,原型转功能点,prototype-to-feature-points,从原型页提取页面能力点和后台意图,直接出结果,P1,否,需求背景补全,在需求与产品定义-原型理解环节，围绕“从原型页提取页面能力点和后台意图”提供以草稿、清单、结构化结果为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：需求背景补全。,典型下游衔接：原型转后端需求；页面动作提取；表单字段提取。,同一子域相邻技能：原型转后端需求；页面动作提取；表单字段提取。,3
需求与产品定义,原型理解,后端抽取,原型转后端需求,prototype-to-backend-requirements,从页面、表单、状态中抽取后端实现需求,直接出结果,P1,否,原型转功能点; 需求拆解,在需求与产品定义-原型理解环节，围绕“从页面、表单、状态中抽取后端实现需求”提供以草稿、清单、结构化结果为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：原型转功能点; 需求拆解。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：原型转功能点；页面动作提取；表单字段提取。,0
需求与产品定义,原型理解,动作提取,页面动作提取,page-action-extraction,抽取按钮、菜单、批量操作和状态切换动作,辅助查看,P2,否,原型转功能点,在需求与产品定义-原型理解环节，围绕“抽取按钮、菜单、批量操作和状态切换动作”提供以汇总、归类、展示为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：原型转功能点。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：原型转功能点；原型转后端需求；表单字段提取。,0
需求与产品定义,原型理解,字段提取,表单字段提取,form-field-extraction,抽取字段、校验、默认值和可编辑条件,直接出结果,P2,否,原型转功能点,在需求与产品定义-原型理解环节，围绕“抽取字段、校验、默认值和可编辑条件”提供以草稿、清单、结构化结果为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：原型转功能点。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：原型转功能点；原型转后端需求；页面动作提取。,0
需求与产品定义,文档产出,PRD生成,PRD生成,prd-generation,根据结构化需求直接生成 PRD 初稿,直接出结果,P0,是,需求拆解; 业务规则抽取; 状态流转梳理; 权限矩阵提取,在需求与产品定义-文档产出环节，围绕“根据结构化需求直接生成 PRD 初稿”提供以草稿、清单、结构化结果为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责生成初稿、清单、说明或文档，不保证可直接上线/发布，仍需人工校对。,以上游技能输出为前置输入：需求拆解; 业务规则抽取; 状态流转梳理; 权限矩阵提取。,典型下游衔接：PRD补全；PRD评审问题生成；需求可执行性检查；需求交接包生成。,同一子域相邻技能：PRD补全；PRD评审问题生成。,4
需求与产品定义,文档产出,PRD补全,PRD补全,prd-completion,对现有 PRD 缺失内容进行补写和完善,直接出结果,P1,否,PRD生成; 需求完整性检查,在需求与产品定义-文档产出环节，围绕“对现有 PRD 缺失内容进行补写和完善”提供以草稿、清单、结构化结果为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责补齐缺失信息，不凭空创造未经证实的新规则、新范围或新承诺。,以上游技能输出为前置输入：PRD生成; 需求完整性检查。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：PRD生成；PRD评审问题生成。,0
需求与产品定义,文档产出,评审辅助,PRD评审问题生成,prd-review-question-generation,为评审会自动生成问题清单和关注点,直接出结果,P1,否,PRD生成; 需求质量审查,在需求与产品定义-文档产出环节，围绕“为评审会自动生成问题清单和关注点”提供以草稿、清单、结构化结果为主。,止于需求理解、结构化与文档化，不进入需求质检结论、技术方案设计和研发实现。,负责生成初稿、清单、说明或文档，不保证可直接上线/发布，仍需人工校对。,以上游技能输出为前置输入：PRD生成; 需求质量审查。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：PRD生成；PRD补全。,0
需求质量保障,完整性审查,缺项检查,需求完整性检查,requirement-completeness-check,检查是否缺少规则、校验、异常、权限、数据影响等,辅助决策,P0,是,需求拆解; 业务规则抽取,在需求质量保障-完整性审查环节，围绕“检查是否缺少规则、校验、异常、权限、数据影响等”提供以判断依据、风险提示、建议为主。,止于需求审查与放行建议，不回写需求正文，也不进入技术设计、开发和测试执行。,负责按规范或规则核查并指出问题，不自动修复或代替负责人签字。,以上游技能输出为前置输入：需求拆解; 业务规则抽取。,典型下游衔接：PRD补全；需求质量审查。,主要与这些技能形成边界：需求拆解；业务规则抽取；PRD补全；需求质量审查。,2
需求质量保障,可执行性审查,开工判断,需求可执行性检查,requirement-executability-check,判断需求是否足够支撑研发估时、设计、开发和测试,辅助决策,P0,是,需求拆解; PRD生成,在需求质量保障-可执行性审查环节，围绕“判断需求是否足够支撑研发估时、设计、开发和测试”提供以判断依据、风险提示、建议为主。,止于需求审查与放行建议，不回写需求正文，也不进入技术设计、开发和测试执行。,负责按规范或规则核查并指出问题，不自动修复或代替负责人签字。,以上游技能输出为前置输入：需求拆解; PRD生成。,典型下游衔接：需求质量审查；工时估算辅助。,主要与这些技能形成边界：需求拆解；PRD生成；需求质量审查；工时估算辅助。,2
需求质量保障,一致性审查,矛盾识别,需求矛盾检测,requirement-conflict-detection,识别规则冲突、权限冲突、状态冲突和口径冲突,帮助理解,P0,是,业务规则抽取; 状态流转梳理; 权限矩阵提取,在需求质量保障-一致性审查环节，围绕“识别规则冲突、权限冲突、状态冲突和口径冲突”提供以解释、识别、归因为主。,止于需求审查与放行建议，不回写需求正文，也不进入技术设计、开发和测试执行。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：业务规则抽取; 状态流转梳理; 权限矩阵提取。,典型下游衔接：需求质量审查。,主要与这些技能形成边界：业务规则抽取；状态流转梳理；权限矩阵提取；需求质量审查。,1
需求质量保障,风险审查,漏洞识别,需求漏洞扫描,requirement-vulnerability-scan,发现并发、幂等、越权、异常恢复、边界遗漏,辅助决策,P0,是,业务规则抽取; 状态流转梳理; 权限矩阵提取,在需求质量保障-风险审查环节，围绕“发现并发、幂等、越权、异常恢复、边界遗漏”提供以判断依据、风险提示、建议为主。,止于需求审查与放行建议，不回写需求正文，也不进入技术设计、开发和测试执行。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：业务规则抽取; 状态流转梳理; 权限矩阵提取。,典型下游衔接：需求质量审查；并发控制建议；幂等设计建议；安全风险分析；并发测试点生成；幂等测试点生成。,主要与这些技能形成边界：业务规则抽取；状态流转梳理；权限矩阵提取；需求质量审查。,6
需求质量保障,不确定项审查,未决识别,待确认项提取,pending-items-extraction,提取阻塞研发和测试推进的未确认问题,直接出结果,P0,是,需求拆解; 业务规则抽取,在需求质量保障-不确定项审查环节，围绕“提取阻塞研发和测试推进的未确认问题”提供以草稿、清单、结构化结果为主。,止于需求审查与放行建议，不回写需求正文，也不进入技术设计、开发和测试执行。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：需求拆解; 业务规则抽取。,典型下游衔接：需求质量审查。,主要与这些技能形成边界：需求拆解；业务规则抽取；需求质量审查。,1
需求质量保障,门禁审查,总体放行,需求质量审查,requirement-quality-review,汇总完整性、可执行性、矛盾、漏洞并给出放行建议,辅助决策,P0,是,需求完整性检查; 需求可执行性检查; 需求矛盾检测; 需求漏洞扫描; 待确认项提取,在需求质量保障-门禁审查环节，围绕“汇总完整性、可执行性、矛盾、漏洞并给出放行建议”提供以判断依据、风险提示、建议为主。,止于需求审查与放行建议，不回写需求正文，也不进入技术设计、开发和测试执行。,负责汇总、合并和归类输入，不做价值判断、优先级排序或正式方案定稿。,以上游技能输出为前置输入：需求完整性检查; 需求可执行性检查; 需求矛盾检测; 需求漏洞扫描; 待确认项提取。,典型下游衔接：PRD评审问题生成；需求交接包生成；验收标准生成；开发需求解析；测试点生成；Skill路由选择 等。,主要与这些技能形成边界：需求完整性检查；需求可执行性检查；需求矛盾检测；需求漏洞扫描。,8
协同交接,产品到研发,交接包输出,需求交接包生成,handover-package-generation,输出给研发的交接材料、风险点和待确认项,直接出结果,P0,是,PRD生成; 需求质量审查,在协同交接-产品到研发环节，围绕“输出给研发的交接材料、风险点和待确认项”提供以草稿、清单、结构化结果为主。,止于跨角色交接、同步与反馈，不替代产品、研发、测试各自的专业产出。,负责生成初稿、清单、说明或文档，不保证可直接上线/发布，仍需人工校对。,以上游技能输出为前置输入：PRD生成; 需求质量审查。,典型下游衔接：需求变更影响分析；开发需求解析；任务发起；产品-研发对齐摘要。,主要与这些技能形成边界：PRD生成；需求质量审查；需求变更影响分析；开发需求解析。,4
协同交接,产品到测试,验收统一,验收标准生成,acceptance-criteria-generation,生成功能、异常、权限、数据一致性验收清单,直接出结果,P0,是,需求拆解; 业务规则抽取; 需求质量审查,在协同交接-产品到测试环节，围绕“生成功能、异常、权限、数据一致性验收清单”提供以草稿、清单、结构化结果为主。,止于跨角色交接、同步与反馈，不替代产品、研发、测试各自的专业产出。,负责生成初稿、清单、说明或文档，不保证可直接上线/发布，仍需人工校对。,以上游技能输出为前置输入：需求拆解; 业务规则抽取; 需求质量审查。,典型下游衔接：需求变更影响分析；测试点生成；测试用例生成；冒烟测试清单生成；数据一致性检查项生成；权限测试点生成 等。,主要与这些技能形成边界：需求拆解；业务规则抽取；需求质量审查；需求变更影响分析。,9
协同交接,变更管理,影响分析,需求变更影响分析,requirement-change-impact-analysis,分析需求变更对研发、测试和版本范围的影响,辅助决策,P1,否,需求交接包生成; 开发任务拆分; 验收标准生成,在协同交接-变更管理环节，围绕“分析需求变更对研发、测试和版本范围的影响”提供以判断依据、风险提示、建议为主。,止于跨角色交接、同步与反馈，不替代产品、研发、测试各自的专业产出。,负责提出建议、解释现象或定位问题，不直接修改系统、代码或流程。,以上游技能输出为前置输入：需求交接包生成; 开发任务拆分; 验收标准生成。,典型下游衔接：需求变更同步；风险项提取。,同一子域相邻技能：需求变更同步。,2
协同交接,变更管理,同步输出,需求变更同步,requirement-change-sync,生成面向相关方的变更说明和回归提醒,直接出结果,P1,否,需求变更影响分析,在协同交接-变更管理环节，围绕“生成面向相关方的变更说明和回归提醒”提供以草稿、清单、结构化结果为主。,止于跨角色交接、同步与反馈，不替代产品、研发、测试各自的专业产出。,负责生成初稿、清单、说明或文档，不保证可直接上线/发布，仍需人工校对。,以上游技能输出为前置输入：需求变更影响分析。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：需求变更影响分析。,0
协同交接,研发反馈,回传输出,研发反馈回传,engineering-feedback-return,将技术限制、工期与风险反馈给产品,直接出结果,P1,否,开发需求解析; 技术方案分析,在协同交接-研发反馈环节，围绕“将技术限制、工期与风险反馈给产品”提供以草稿、清单、结构化结果为主。,止于跨角色交接、同步与反馈，不替代产品、研发、测试各自的专业产出。,负责提炼现状与差异，帮助理解，不替代最终决策或正式排期。,以上游技能输出为前置输入：开发需求解析; 技术方案分析。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,主要与这些技能形成边界：开发需求解析；技术方案分析。,0
技术方案设计,研发理解,技术翻译,开发需求解析,engineering-requirement-parsing,把产品语言翻译成研发实现语言,帮助理解,P0,是,需求交接包生成; 需求质量审查,在技术方案设计-研发理解环节，围绕“把产品语言翻译成研发实现语言”提供以解释、识别、归因为主。,止于方案、接口、数据与任务设计，不进入代码编写、测试执行和发布落地。,负责解释、识别和归因，不直接输出最终交付物。,以上游技能输出为前置输入：需求交接包生成; 需求质量审查。,典型下游衔接：研发反馈回传；接口意图抽取；技术方案分析；接口设计建议；表结构设计建议；产品-研发对齐摘要。,同一子域相邻技能：接口意图抽取。,6
技术方案设计,研发理解,接口意图,接口意图抽取,api-intent-extraction,抽取接口目标、入参、出参和错误分支,直接出结果,P1,否,开发需求解析,在技术方案设计-研发理解环节，围绕“抽取接口目标、入参、出参和错误分支”提供以草稿、清单、结构化结果为主。,止于方案、接口、数据与任务设计，不进入代码编写、测试执行和发布落地。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：开发需求解析。,典型下游衔接：技术方案分析；接口设计建议。,同一子域相邻技能：开发需求解析。,2
技术方案设计,方案输出,方案生成,技术方案分析,technical-solution-analysis,根据需求生成实现思路、模块边界和风险点,辅助决策,P0,是,开发需求解析; 接口意图抽取,在技术方案设计-方案输出环节，围绕“根据需求生成实现思路、模块边界和风险点”提供以判断依据、风险提示、建议为主。,止于方案、接口、数据与任务设计，不进入代码编写、测试执行和发布落地。,负责生成初稿、清单、说明或文档，不保证可直接上线/发布，仍需人工校对。,以上游技能输出为前置输入：开发需求解析; 接口意图抽取。,典型下游衔接：研发反馈回传；技术方案初稿生成；方案评审问题生成；模块边界识别；服务拆分建议；接口设计建议 等。,同一子域相邻技能：技术方案初稿生成。,21
技术方案设计,方案输出,初稿生成,技术方案初稿生成,technical-solution-draft-generation,直接输出技术方案草稿,直接出结果,P1,否,技术方案分析,在技术方案设计-方案输出环节，围绕“直接输出技术方案草稿”提供以草稿、清单、结构化结果为主。,止于方案、接口、数据与任务设计，不进入代码编写、测试执行和发布落地。,负责生成初稿、清单、说明或文档，不保证可直接上线/发布，仍需人工校对。,以上游技能输出为前置输入：技术方案分析。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：技术方案分析。,0
技术方案设计,方案评审,评审清单,方案评审问题生成,solution-review-question-generation,给技术评审生成问题清单和关注点,直接出结果,P1,否,技术方案分析,在技术方案设计-方案评审环节，围绕“给技术评审生成问题清单和关注点”提供以草稿、清单、结构化结果为主。,止于方案、接口、数据与任务设计，不进入代码编写、测试执行和发布落地。,负责生成初稿、清单、说明或文档，不保证可直接上线/发布，仍需人工校对。,以上游技能输出为前置输入：技术方案分析。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,主要与这些技能形成边界：技术方案分析。,0
技术方案设计,架构拆分,边界识别,模块边界识别,module-boundary-identification,识别系统边界、职责边界和上下游关系,帮助理解,P1,否,技术方案分析,在技术方案设计-架构拆分环节，围绕“识别系统边界、职责边界和上下游关系”提供以解释、识别、归因为主。,止于方案、接口、数据与任务设计，不进入代码编写、测试执行和发布落地。,负责从现有材料中抽出结构化信息，不补充输入中不存在的业务承诺。,以上游技能输出为前置输入：技术方案分析。,典型下游衔接：服务拆分建议。,同一子域相邻技能：服务拆分建议。,1
技术方案设计,架构拆分,服务建议,服务拆分建议,service-decomposition-recommendation,给出服务拆分、模块拆分和职责划分建议,辅助决策,P1,否,模块边界识别; 技术方案分析,在技术方案设计-架构拆分环节，围绕“给出服务拆分、模块拆分和职责划分建议”提供以判断依据、风险提示、建议为主。,止于方案、接口、数据与任务设计，不进入代码编写、测试执行和发布落地。,负责拆成可执行单元和依赖关系，不负责后续详细设计、编码或测试落地。,以上游技能输出为前置输入：模块边界识别; 技术方案分析。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：模块边界识别。,0
技术方案设计,API设计,接口设计,接口设计建议,api-design-recommendation,生成接口设计建议、方法、路径和返回结构,直接出结果,P1,否,开发需求解析; 接口意图抽取; 技术方案分析,在技术方案设计-API设计环节，围绕“生成接口设计建议、方法、路径和返回结构”提供以草稿、清单、结构化结果为主。,止于方案、接口、数据与任务设计，不进入代码编写、测试执行和发布落地。,负责生成初稿、清单、说明或文档，不保证可直接上线/发布，仍需人工校对。,以上游技能输出为前置输入：开发需求解析; 接口意图抽取; 技术方案分析。,典型下游衔接：API规范检查；API错误码设计；Controller草稿生成；Service草稿生成；DTO/VO生成；枚举定义生成 等。,同一子域相邻技能：API规范检查；API错误码设计。,9
技术方案设计,API设计,规范校验,API规范检查,api-spec-compliance-check,检查命名、状态码、幂等、分页和鉴权规范,辅助决策,P1,否,接口设计建议,在技术方案设计-API设计环节，围绕“检查命名、状态码、幂等、分页和鉴权规范”提供以判断依据、风险提示、建议为主。,止于方案、接口、数据与任务设计，不进入代码编写、测试执行和发布落地。,负责按规范或规则核查并指出问题，不自动修复或代替负责人签字。,以上游技能输出为前置输入：接口设计建议。,无明确下游依赖；更适合作为独立分析节点或被人工消费。,同一子域相邻技能：接口设计建议；API错误码设计。,0
技术方案设计,API设计,错误口径,API错误码设计,api-error-code-design,输出错误码和错误语义建议,直接出结果,P2,否,接口设计建议,在技术方案设计-API设计环节，围绕“输出错误码和错误语义建议”提供以草稿、清单、结构化结果为主。,止于方案、接口、数据与任务设计，不进入代码编写、测试执行和发布落地。,负责生成初稿、清单、说明或文档，不保证可直接上线/发布，仍需人工校对。,以上游技能输出为前置输入：接口设计建议。,典型下游衔接：异常类生成。,同一子域相邻技能：接口设计建议；API规范检查。,1
技术方案设计,数据设计,表结构设计,表结构设计建议,table-schema-design-recommendation,给出表、字段、关系和约束建议,直接出结果,P1,否,开发需求解析; 技术方案分析,在技术方案设计-数据设计环节，围绕“给出表、字段、关系和约束建议”提供以草稿、清单、结构化结果为主。,止于方案、接口、数据与任务设计，不进入代码编写、测试执行和发布落地。,负责提出建议、解释现象或定位问题，不直接修改系统、代码或流程。,以上游技能输出为前置输入：开发需求解析; 技术方案分析。,典型下游衔接：索引设计建议；数据流梳理；性能风险分析；代码骨架生成；Repository草稿生成；SQL草稿生成 等。,同一子域相邻技能：索引设计建议；数据流梳理。,7
技术方案设计,数据设计,索引设计,索引设计建议,index-design-recommendation,给出唯一索引、联合索引和查询索引建议,辅助决策,P1,否,表结构设计建议,在技术方案设计-数据设计环节，围绕“给出唯一索引、联合索引和查询索引建议”提供以判断依据、风险提示、建议为主。,止于方案、接口、数据与任务设计，不进入代码编写、测试执行和发布落地。,负责提出建议、解释现象或定位问题，不直接修改系统、代码或流程。,以上游技能输出为前置输入：表结构设计建议。,典型下游衔接：查询优化建议。,同一子域相邻技能：表结构设计建议；数据流梳理。,1
